Item;Set;Condition;Sentence;MeanRating
1;1;Congruent;O Glipi vai trancar o cadeado.;5
2;1;Incongruent;O Glipi vai trancar o leque.;1.1
3;1;Congruent;O Glipi vai abanar o leque.;5
4;1;Incongruent;O Glipi vai abanar o cadeado.;1.025
5;2;Congruent;O Glipi vai abrir o frasco.;5
6;2;Incongruent;O Glipi vai abrir o gelado.;1.475
7;2;Congruent;O Glipi vai provar o gelado.;5
8;2;Incongruent;O Glipi vai provar o frasco.;1
9;3;Congruent;O Glipi vai acender o isqueiro.;5
10;3;Incongruent;O Glipi vai acender o pêssego.;1
11;3;Congruent;O Glipi vai cortar o pêssego.;4.95
12;3;Incongruent;O Glipi vai cortar o isqueiro.;1.1
13;4;Congruent;O Glipi vai acertar o relógio.;4.975
14;4;Incongruent;O Glipi vai acertar o queijo.;1.325
15;4;Congruent;O Glipi vai derreter o queijo.;4.8
16;4;Incongruent;O Glipi vai derreter o relógio.;1.3
17;5;Congruent;O Glipi vai afiar o lápis.;5
18;5;Incongruent;O Glipi vai afiar o botão.;1
19;5;Congruent;O Glipi vai costurar o botão.;4.95
20;5;Incongruent;O Glipi vai costurar o lápis.;1.075
21;6;Congruent;O Glipi vai apagar a vela.;5
22;6;Incongruent;O Glipi vai apagar a medalha.;1
23;6;Congruent;O Glipi vai ganhar a medalha.;5
24;6;Incongruent;O Glipi vai ganhar a vela.;1
25;7;Congruent;O Glipi vai apertar o cinto.;5
26;7;Incongruent;O Glipi vai apertar o cogumelo.;1.5
27;7;Congruent;O Glipi vai colher o cogumelo.;4.975
28;7;Incongruent;O Glipi vai colher o cinto.;1.05
29;8;Congruent;O Glipi vai aspirar o tapete.;5
30;8;Incongruent;O Glipi vai aspirar o machado.;1.15
31;8;Congruent;O Glipi vai empunhar o machado.;4.95
32;8;Incongruent;O Glipi vai empunhar o tapete.;1.025
33;9;Congruent;O Glipi vai atender o telefone.;5
34;9;Incongruent;O Glipi vai atender o dado.;1
35;9;Congruent;O Glipi vai lançar o dado.;5
36;9;Incongruent;O Glipi vai lançar o telefone.;1.2
37;10;Congruent;O Glipi vai cheirar o perfume.;5
38;10;Incongruent;O Glipi vai cheirar o copo.;1.435
39;10;Congruent;O Glipi vai lavar o copo.;5
40;10;Incongruent;O Glipi vai lavar o perfume.;1.128
41;11;Congruent;O Glipi vai comer a bolacha.;5
42;11;Incongruent;O Glipi vai comer a rosa.;1.275
43;11;Congruent;O Glipi vai plantar a rosa.;5
44;11;Incongruent;O Glipi vai plantar a bolacha.;1
45;12;Congruent;O Glipi vai coser o fecho.;4.925
46;12;Incongruent;O Glipi vai coser o limão.;1
47;12;Congruent;O Glipi vai espremer o limão.;5
48;12;Incongruent;O Glipi vai espremer o fecho.;1.625
49;13;Congruent;O Glipi vai descascar a banana.;4.9
50;13;Incongruent;O Glipi vai descascar a lâmpada.;1.525
51;13;Congruent;O Glipi vai desligar a lâmpada.;5
52;13;Incongruent;O Glipi vai desligar a banana.;1
53;14;Congruent;O Glipi vai montar a mesa.;4.875
54;14;Incongruent;O Glipi vai montar a capa.;1.15
55;14;Congruent;O Glipi vai vestir a capa.;5
56;14;Incongruent;O Glipi vai vestir a mesa.;1.025
57;15;Congruent;O Glipi vai dobrar a camisa.;5
58;15;Incongruent;O Glipi vai dobrar a flauta.;1.05
59;15;Congruent;O Glipi vai tocar a flauta.;5
60;15;Incongruent;O Glipi vai tocar a camisa.;1.2
61;16;Congruent;O Glipi vai encher a garrafa.;5
62;16;Incongruent;O Glipi vai encher a cebola.;1.025
63;16;Congruent;O Glipi vai picar a cebola.;5
64;16;Incongruent;O Glipi vai picar a garrafa.;1
65;17;Congruent;O Glipi vai explodir a bomba.;4.975
66;17;Incongruent;O Glipi vai explodir a planta.;1.425
67;17;Congruent;O Glipi vai regar a planta.;5
68;17;Incongruent;O Glipi vai regar a bomba.;1
69;18;Congruent;O Glipi vai fritar a batata.;5
70;18;Incongruent;O Glipi vai fritar a cenoura.;2.7
71;18;Congruent;O Glipi vai ralar a cenoura.;4.625
72;18;Incongruent;O Glipi vai ralar a batata.;3.575
73;19;Congruent;O Glipi vai ligar a candeeiro.;5
74;19;Incongruent;O Glipi vai ligar a sino.;1.05
75;19;Congruent;O Glipi vai ouvir o sino.;5
76;19;Incongruent;O Glipi vai ouvir o candeeiro.;1.525
77;20;Congruent;O Glipi vai rebentar o balão.;5
78;20;Incongruent;O Glipi vai rebentar o tomate.;1.5
79;20;Congruent;O Glipi vai temperar o tomate.;4.975
80;20;Incongruent;O Glipi vai temperar o balão.;1.1
