item,type,condition,full_text
1,janus,standard_de,"In der alten römischen Religion und Mythologie ist Janus der Gott des Anfangs und der Tore. Er hat eine doppelte Natur und wird gewöhnlich mit zwei Gesichtern dargestellt, da er in die Zukunft und in die Vergangenheit blickt. Janus überwachte den Beginn und das Ende von Konflikten und damit auch Krieg und Frieden. Die Türen seines Tempels waren in Kriegszeiten geöffnet und geschlossen in Zeiten des Friedens. Als Gott der Tore wurde er außerdem mit dem Betreten und Verlassen von Haustüren in Verbindung gebracht. Janus symbolisierte häufig Veränderungen und Übergänge, wie den Wechsel von einer Bedingung zur anderen, von einer Perspektive zur anderen und das Heranwachsen junger Menschen zum Erwachsenenalter. Deswegen wurde Janus zu Beginn der Saat- und Erntezeit verehrt, genauso wie zu Hochzeiten, Todesfällen und anderen Übergängen. Für Janus war kein spezieller Priester zuständig, sondern der höchste Priester leitete die Zeremonien selbst. Janus stellte den Mittelweg zwischen Barbarei und Zivilisation, ländlichem und urbanem Leben, Jugend und Erwachsenenalter dar. Die alten Griechen hatten kein Äquivalent zu Janus, den die Römer ganz für sich beanspruchten."
2,shaka,standard_de,"Das Wort Shaka, begleitet von einer typischen Handhaltung, bei der die geschlossene Faust mit abgespreiztem Daumen und kleinem Finger gehoben wird, ist eine ganz allgemein auf Hawaii gebräuchliche Geste und bedeutet etwa so viel wie „Cool“ oder „Locker“. Unter Windsurfern ist das Zeichen als Gruß verbreitet und wird als „Hang Loose“ bezeichnet. Hier hat dieser Gruß jedoch eine ganz reale Anwendung: die abgespreizten Finger stehen für den Trapez-Tampen und die Faust für den Haken des Trapezes, mit welchem sich der Windsurfer einhängt. Der exakte Ursprung des Zeichens ist letztlich nicht gesichert, doch existieren eine Reihe von Theorien. Nach Recherche einer Zeitung geht das Handzeichen auf einen berühmten Hawaiianer zurück, dem an einer Hand drei Finger fehlten. Woher aber der begleitende Name Shaka rührt ist ungeklärt. Auch von Prominenten wird der Gruß häufig verwendet. Bekannte Schauspieler, Musiker und Politiker verwenden ihn und selbst der brasilianische Weltfußballer Ronaldinho nutzte diese Geste oft beim Torjubel. Er schwenkte jedoch seine beiden Hände noch zusätzlich."
3,doping,standard_de,"Im Leistungssport ist Doping die Nutzung verbotener leistungssteigernder Substanzen durch die teilnehmenden Athleten. Der Ausdruck Doping wird häufig von Organisationen verwendet, die sportliche Wettbewerbe regulieren. Der Gebrauch von Medikamenten, um die eigene Leistung zu steigern, wird allgemein als unethisch angesehen und deswegen von den meisten internationalen Sportorganisationen, wie dem Internationalen Olympischen Komitee, verboten. Darüber hinaus verschlimmern Athleten, die gezielt Maßnahmen ergreifen, um nicht entdeckt zu werden, ihr Vergehen, indem sie vorsätzlich täuschen und betrügen. Obwohl in den aktuellen Nachrichten häufig behandelt, ist Doping kein neues Phänomen - tatsächlich ist es so alt wie der Sport selbst. Von der Verwendung von Substanzen in alten Wagenrennen bis hin zu neueren Kontroversen im Baseball und im Radsport haben sich die Ansichten der Athleten im Laufe der Jahre stark verändert. In den letzten Jahrzehnten haben Behörden und Sportorganisationen versucht, den Konsum von Medikamenten im Sport streng zu regulieren. Die Hauptgründe für dieses Verbot sind die Gesundheitsrisiken von leistungssteigernden Medikamenten, die Chancengleichheit im Sport und das positive Beispiel, das durch den drogenfreien Sport in der Gesellschaft vermittelt wird. Anti-Doping-Behörden haben wiederholt betont, dass der Einsatz leistungssteigernder Medikamente gegen den Geist des Sports"" verstößt."""
4,thylacine,standard_de,"Der Beutelwolf, auch Tasmanischer Tiger genannt, war das größte räuberisch lebende Beuteltier, das in geschichtlicher Zeit auf dem australischen Kontinent lebte. Das letzte bekannte Exemplar starb im zwanzigsten Jahrhundert in einem Zoo auf Tasmanien. Nicht nur dem Namen nach gibt es Ähnlichkeiten zwischen Wolf und Beutelwolf. Obwohl die Vorfahren beider Tiere sich stammesgeschichtlich sehr früh in der Kreidezeit teilten, entwickelte sich in der Gruppe der Beuteltiere und der Höheren Säugetiere jeweils ein Raubtier mit verblüffenden Übereinstimmungen. Beide besitzen ein Raubtiergebiss mit sehr kleinen Schneidezähnen und großen, gebogenen Eckzähnen. Sein ursprünglicher Lebensraum waren offene Waldgebiete und Grasländer. In den letzten Jahrzehnten seiner Existenz wurde er aber durch den Menschen in dichte Wälder abgedrängt. Beutelwölfe waren in der Regel nachtaktiv, konnten aber beim Sonnenbaden beobachtet werden. Über die Jagdtechnik gibt es unterschiedliche Berichte. Nach manchen Berichten verfolgte der Beutelwolf seine Beute, bis sie ermüdet war und er sie überwältigen konnte; nach anderen Berichten schlich er sich an seine Opfer an und überrumpelte sie. Dabei half ihm sein kräftiger Kiefer, mit dem er den Schädel eines Hundes mit einem einzigen Biss zermalmen konnte."
5,world_environment_day,standard_de,"Der Weltumwelttag oder auch Tag der Umwelt ist ein jährlich am 5. Juni weltweit begangener Aktionstag. Im Jahr 1972, dem Eröffnungsjahr der ersten Weltumweltkonferenz in Stockholm, wurde der Weltumwelttag offiziell vom Umweltprogramm der Vereinten Nationen ausgerufen. Seit 1976 werden zum Weltumwelttag auch in Deutschland Aktionen zum Thema Recycling, gegen Naturzerstörung weltweit und zur Schärfung des Umweltbewusstseins organisiert. So wurde in vergangenen Jahren zum Beispiel das globale Umweltproblem des Meeresspiegelanstiegs für die kleinen Inselstaaten dieser Erde thematisiert. Sowohl Modellprojekte zu thermischen Solaranlagen, wie auch Photovoltaikanlagen wurden dafür in Betrieb genommen. Länder, in denen an nahezu 365 Tagen im Jahr die Sonne scheine, könnten sich eine Verschwendung von Dachflächen nicht leisten, sagten bekannte Politiker. Auch in weiteren Staaten gab es Aktionen: In Sri Lanka wurden etwa Strände von Plastikmüll gesäubert. Das internationale Jahresmotto für 2018 lautete “Bekämpft den Plastikmüll”. Gastgebernation war Indien, gastgebende Stadt Neu-Delhi. Ein verwandter Gedenktag zum Weltumwelttag ist der Tag der Erde."
6,monocle,standard_de,"Das Monokel ist eine Sehhilfe, die im Gegensatz zur heute verwendeten Brille aus nur einem Glas besteht und am Auge eingeklemmt wird. Das Monokel entwickelte sich aus dem Lesestein, einer geschliffenen Linse aus Quarz oder Beryll. Daher stammt auch das deutsche Wort Brille. Dieser Lesestein wurde zum Vergrößern direkt auf das Schriftstück gelegt. Das im Deutschen verwendete Wort Monokel wurde aus dem Französischem entlehnt, entstand aber ursprünglich als zweisprachiges Kunstwort aus dem Altgriechischen und Latein. Das Monokel war gegen Ende des 19. Jahrhunderts besonders in Deutschland und Großbritannien populär und galt als ein Statussymbol der höheren Gesellschaftsschichten. Besonders verbreitet war es in den Offizierskorps der Armeen dieser beiden Länder. Einige Mediziner waren damals der Meinung, das Verzerren des Gesichts zum Festhalten des Monokels sei gesundheitsschädlich. Dagegen wurde gewöhnlich argumentiert, dass nur Personen Monokel tragen sollten, die es ohne solche Gesichtsverzerrungen tragen könnten. Dem wurde von Seiten der Optiker auch durch unterschiedliche Größen entsprochen."
7,wine_tasting,standard_de,"Eine Weinprobe ist die sensorische Prüfung und Bewertung von Wein. Während die Weinprobe so alt ist wie die Weinherstellung selbst, wurde ihr seit dem späten Mittelalter ein stärker formalisierter Ablauf gegeben. Moderne, professionelle Weintester verwenden eine sich ständig weiterentwickelnde Fachterminologie, mit der das Spektrum der wahrgenommenen Geschmäcke, Aromen und generellen Merkmale eines Weins beschrieben wird. In den letzten Jahren sind Studien veröffentlicht worden, welche die Zuverlässigkeit der Weinprobe sowohl bei Experten als auch bei Verbrauchern in Frage stellen. Einige Untersuchungen haben zum Beispiel gezeigt, dass Menschen erwarten, dass ein teurerer Wein mehr positive Eigenschaften besitzt als ein billigerer Wein. Wenn Verkostern Wein gegeben wird, von dem fälschlicherweise gesagt wird, dass er teuer ist, berichten sie praktisch immer, dass er besser schmeckt als derselbe Wein, wenn er als billig beschrieben wird. Andere Studien zeigen, dass das Urteil der Verkoster durch ihr Wissen über Eigenschaften eines Weins wie geografische Herkunft, Reputation oder andere Faktoren verzerrt werden kann. Bei einer objektiven Weinverkostung muss der Wein deswegen blind serviert werden; das bedeutet ohne, dass der Tester das Etikett oder die Flaschenform gesehen hat. Bei einer Blindverkostung kann der Wein auch aus einem schwarzen Weinglas serviert werden, um die Farbe des Weins zu maskieren."
8,orange_juice,standard_de,"Orangensaft ist ein Fruchtsaft, der durch Auspressen von Orangen hergestellt wird. Umgangssprachlich wird er oft als O-Saft bezeichnet. Orangensaft ist der meistgetrunkene Saft der Welt und steht für die Hälfte des Gesamtkonsums an Fruchtsäften. Unterschieden wird zwischen Direktsaft und Fruchtsaft aus Fruchtsaftkonzentrat. Orangen-Direktsaft wird im Ernteland (hauptsächlich Brasilien) nach dem Pressen durch Pasteurisation haltbar gemacht. Befindet sich das Zielland in Übersee, beispielsweise Europa, so wird er per Orangensafttanker transportiert und im Zielland von den Fruchtsaftherstellern abgefüllt. Der Hauptteil des gewonnenen Orangensaftes wird noch im Produktionsland zu Orangensaftkonzentrat verarbeitet. Dazu werden dem Orangensaft unter Vakuum bei niedrigen Temperaturen zuerst die Aromen und anschließend das Wasser entzogen. Laut Fruchtsaft- und Erfrischungsgetränkeverordnung darf als Saft nur ein solches Getränk bezeichnet werden, das vollständig aus dem Fruchtsaft und dem Fruchtfleisch der entsprechenden Früchte stammt."
9,beekeeping,standard_de,"Der Imker beschäftigt sich mit der Haltung, Vermehrung und Züchtung von Honigbienen sowie mit der Produktion von Honig und weiterer Bienenprodukte. Wirtschaftlich relevanter ist heute die Bestäubungsleistung der Honigbienen in der Landwirtschaft als Nebenprodukt der Imkerei. Ein Imker braucht keine spezielle Ausbildung, aber in den deutschsprachigen Ländern absolvieren die meisten Neu-Imker einen Grundkurs. Vom Imker zu unterscheiden ist der Zeidler, der den Honig wildlebender Honigbienen-Völker im Wald sammelt. Der Imker hält seine Bienenvölker in künstlichen Nisthöhlen, den Bienenstöcken, in denen Brutnest und Honigvorräte vor Witterungseinflüssen und den Räubereien anderer Tiere geschützt sind. Der Imker produziert mit dem Honig ein Lebensmittel und ist damit in den deutschsprachigen Ländern der strengen Lebensmittelgesetzgebung unterstellt. Honigbienen sind die wichtigsten Bestäuber von Blütenpflanzen. Wegen ihrer Bestäubungsleistung ist die Honigbiene nach Rind und Schwein weltweit das drittwichtigste Nutztier in der Landwirtschaft. Neben der ökologischen Bedeutung der Honigbienen als Bestäuber von Wild- und Kulturpflanzen hat die Imkerei einen großen ökonomischen Nutzen für die Landwirtschaft, wo sie den Ertrag und die Qualität von Obst und Gemüse erhöht."
10,national_flag,standard_de,"Eine Nationalflagge symbolisiert als Flagge einen Staat, seine Selbständigkeit, Unabhängigkeit und Einheit. Davon abgeleitet können sie auch für andere Eigenschaften des Landes stehen, wie etwa für dessen Landessprache, selbst wenn diese auch in anderen Ländern verwendet wird. Oft wird die Nationalflagge eingesetzt, um damit Besitzansprüche über ein Territorium zu demonstrieren. Die Nationalflagge ging aus den Flaggen der Schiffe hervor, mit der einst deren Nationalität angezeigt wurde. Nationalflaggen können zu zivilen, staatlichen und militärischen Zwecken verwendet werden. Viele Staaten verwenden daher für diese verschiedenen Bereiche unterschiedliche Flaggen oder Abwandlungen der Grundform der Nationalflagge. Teilweise wird zusätzlich auch zwischen der Verwendung an Land und auf See unterschieden. Die Symbolik der Nationalflagge ist auch oft Grund für Streit, wenn zum Beispiel im Zuge des Wechsels einer Regierungsform die Nationalflagge geändert wird. So etwa geschehen in Portugal, wo der Wechsel der Flagge nach Abschaffung der Monarchie in der Presse zu einem Flaggenkrieg stilisiert wurde. Besonders zu nationalen Gedenktagen wird die Nationalflagge an öffentlichen Gebäuden und, wenn erlaubt, auch an privaten Häusern gehisst. In Peru und Lettland sind dazu alle Bürger am Nationalfeiertag sogar gesetzlich verpflichtet."
