Item,Condition,Sentence,TargetWord
1,gram_sg,"Der Vertrag, den die Diplomaten feierlich unterzeichneten bei der Konferenz, hatte viele Seiten.",unterzeichneten
1,gram_pl,"Die Verträge, die die Diplomaten feierlich unterzeichneten bei der Konferenz, hatten viele Seiten.",unterzeichneten
1,ungram_sg,"Der Vertrag, den der Diplomat feierlich unterzeichneten bei der Konferenz, hatte viele Seiten.",unterzeichneten
1,ungram_pl,"Die Verträge, die der Diplomat feierlich unterzeichneten bei der Konferenz, hatten viele Seiten.",unterzeichneten
2,gram_sg,"Das Geschenk, das die Söhne heimlich öffnen vor dem Weihnachtsabend, steht im Wohnzimmer.",öffnen
2,gram_pl,"Die Geschenke, die die Söhne heimlich öffnen vor dem Weihnachtsabend, stehen im Wohnzimmer.",öffnen
2,ungram_sg,"Das Geschenk, das der Sohn heimlich öffnen vor dem Weihnachtsabend, steht im Wohnzimmer.",öffnen
2,ungram_pl,"Die Geschenke, die der Sohn heimlich öffnen vor dem Weihnachtsabend, stehen im Wohnzimmer.",öffnen
3,gram_sg,"Das Thema, das die Kollegen heute vorschlagen beim Meeting, scheint kompliziert zu sein.",vorschlagen
3,gram_pl,"Die Themen, die die Kollegen heute vorschlagen beim Meeting, scheinen kompliziert zu sein.",vorschlagen
3,ungram_sg,"Das Thema, das der Kollege heute vorschlagen beim Meeting, scheint kompliziert zu sein.",vorschlagen
3,ungram_pl,"Die Themen, die der Kollege heute vorschlagen beim Meeting, scheinen kompliziert zu sein.",vorschlagen
4,gram_sg,"Die Hausaufgabe, die die Freunde immer machen vor der Vorlesung, wird am Laptop bearbeitet.",machen
4,gram_pl,"Die Hausaufgaben, die die Freunde immer machen vor der Vorlesung, werden am Laptop bearbeitet.",machen
4,ungram_sg,"Die Hausaufgabe, die der Freund immer machen vor der Vorlesung, wird am Laptop bearbeitet.",machen
4,ungram_pl,"Die Hausaufgaben, die der Freund immer machen vor der Vorlesung, werden am Laptop bearbeitet.",machen
5,gram_sg,"Der Kurs, den die Professoren erfolgreich unterrichten an der Universität, präsentiert die Grundlagen der Chemie.",unterrichten
5,gram_pl,"Die Kurse, die die Professoren erfolgreich unterrichten an der Universität, präsentieren die Grundlagen der Chemie.",unterrichten
5,ungram_sg,"Der Kurs, den der Professor erfolgreich unterrichten an der Universität, präsentiert die Grundlagen der Chemie.",unterrichten
5,ungram_pl,"Die Kurse, die der Professor erfolgreich unterrichten an der Universität, präsentieren die Grundlagen der Chemie.",unterrichten
6,gram_sg,"Der Bahnhof, den die Obdachlosen täglich besuchen im Winter, wird von der Polizei beobachtet.",besuchen
6,gram_pl,"Die Bahnhöfe, die die Obdachlosen täglich besuchen im Winter, werden von der Polizei beobachtet.",besuchen
6,ungram_sg,"Der Bahnhof, den der Obdachlose täglich besuchen im Winter, wird von der Polizei beobachtet.",besuchen
6,ungram_pl,"Die Bahnhöfe, die der Obdachlose täglich besuchen im Winter, werden von der Polizei beobachtet.",besuchen
7,gram_sg,"Die Universität, die die Studenten erwartungsvoll anschauen für das Masterstudium, ist unorganisiert.",anschauen
7,gram_pl,"Die Universitäten, die die Studenten erwartungsvoll anschauen für das Masterstudium, sind unorganisiert.",anschauen
7,ungram_sg,"Die Universität, die der Student erwartungsvoll anschauen für das Masterstudium, ist unorganisiert.",anschauen
7,ungram_pl,"Die Universitäten, die der Student erwartungsvoll anschauen für das Masterstudium, sind unorganisiert.",anschauen
8,gram_sg,"Die TV-Sendung, die die Senioren regelmäßig schauen am Wochenende, ist schon alt.",schauen
8,gram_pl,"Die TV-Sendungen, die die Senioren regelmäßig schauen am Wochenende, sind schon alt.",schauen
8,ungram_sg,"Die TV-Sendung, die der Senior regelmäßig schauen am Wochenende, ist schon alt.",schauen
8,ungram_pl,"Die TV-Sendungen, die der Senior regelmäßig schauen am Wochenende, sind schon alt.",schauen
9,gram_sg,"Das Auto, das die Polizisten spät nachts anhalten bei der Verkehrskontrolle, blockiert die Straße.",anhalten
9,gram_pl,"Die Autos, die die Polizisten spät nachts anhalten bei der Verkehrskontrolle, blockieren die Straße.",anhalten
9,ungram_sg,"Das Auto, das der Polizist spät nachts anhalten bei der Verkehrskontrolle, blockiert die Straße.",anhalten
9,ungram_pl,"Die Autos, die der Polizist spät nachts anhalten bei der Verkehrskontrolle, blockieren die Straße.",anhalten
10,gram_sg,"Das Haus, das die Feuerwehrmänner so mutig löschen bei einem Brand, war in den Nachrichten.",löschen
10,gram_pl,"Die Häuser, die die Feuerwehrmänner so mutig löschen bei einem Brand, waren in den Nachrichten.",löschen
10,ungram_sg,"Das Haus, das der Feuerwehrmann so mutig löschen bei einem Brand, war in den Nachrichten.",löschen
10,ungram_pl,"Die Häuser, die der Feuerwehrmann so mutig löschen bei einem Brand, waren in den Nachrichten.",löschen
11,gram_sg,"Das Fahrrad, das die Diebe problemlos klauten in der Nacht, wurde niemals wieder gesehen.",klauten
11,gram_pl,"Die Fahrräder, die die Diebe problemlos klauten in der Nacht, wurden niemals wieder gesehen.",klauten
11,ungram_sg,"Das Fahrrad, das der Dieb problemlos klauten in der Nacht, wurde niemals wieder gesehen.",klauten
11,ungram_pl,"Die Fahrräder, die der Dieb problemlos klauten in der Nacht, wurden niemals wieder gesehen.",klauten
12,gram_sg,"Das Bild, das die Fotografen gestern präsentierten in der Galerie, wurde von den Besuchern gemocht.",präsentierten
12,gram_pl,"Die Bilder, die die Fotografen gestern präsentierten in der Galerie, wurden von den Besuchern gemocht.",präsentierten
